spark-tw;100000037167328&ref=MEMBER_LIST;Joined;Tuesday
spark-tw;697234241&ref=MEMBER_LIST;Joined;Tuesday
spark-tw;100002413556226&ref=MEMBER_LIST;Joined;Tuesday
spark-tw;100000204742479;Yang Li Wei;March 1, 2018
spark-tw;100006133364663;Yang Li Wei;February 23, 2018
spark-tw;1530834817;Erica Li;February 22, 2018
spark-tw;100000174893568;Erica Li;February 22, 2018
spark-tw;100000901500446;Erica Li;February 18, 2018
spark-tw;1585826534;Erica Li;February 18, 2018
spark-tw;100002232790935;Yang Li Wei;February 13, 2018
spark-tw;100003644578046;Yang Li Wei;February 13, 2018
spark-tw;100001222933074;Mark Yang;February 8, 2018
spark-tw;100000011095020;Mark Yang;February 8, 2018
spark-tw;1144242179;Yang Li Wei;February 7, 2018
spark-tw;594587361;Yang Li Wei;February 7, 2018
spark-tw;1229408674;Yang Li Wei;February 2, 2018
spark-tw;100000420232519;Yang Li Wei;February 2, 2018
spark-tw;595677009;Erica Li;January 26, 2018
spark-tw;1815253062;Erica Li;January 23, 2018
spark-tw;100001745423255;Erica Li;January 20, 2018
spark-tw;738870757;Erica Li;January 20, 2018
spark-tw;100000155227356;Erica Li;January 19, 2018
spark-tw;100000256020433;Erica Li;January 19, 2018
spark-tw;100000046807400;Erica Li;January 19, 2018
spark-tw;100001106317692;Erica Li;January 19, 2018
spark-tw;100001466464377;Yang Li Wei;January 18, 2018
spark-tw;100000652503160;Yang Li Wei;January 18, 2018
spark-tw;100000003775325;Yang Li Wei;January 18, 2018
spark-tw;1056985636;Yang Li Wei;January 18, 2018
spark-tw;100000321782488;Mark Yang;January 17, 2018
spark-tw;100000042940100;Erica Li;January 17, 2018
spark-tw;100001673454006;Erica Li;January 17, 2018
spark-tw;100000165473878;Erica Li;January 17, 2018
spark-tw;1370485892;Erica Li;January 16, 2018
spark-tw;100001573260426;Erica Li;January 16, 2018
spark-tw;100000382098700;Yingchen Chance;January 11, 2018
spark-tw;100002372941000;Chen-Hung Tsou;January 10, 2018
spark-tw;1366317512;Mark Yang;January 10, 2018
spark-tw;1599358137;Yang Li Wei;January 9, 2018
spark-tw;100001695120448;Erica Li;January 6, 2018
spark-tw;823928349;Erica Li;January 5, 2018
spark-tw;100000317978604;Yang Li Wei;January 4, 2018
spark-tw;100000276835189;Yang Li Wei;January 4, 2018
spark-tw;100000228065976;Yang Li Wei;January 4, 2018
spark-tw;100000120202051;Ying-Jen Chen;January 3, 2018
spark-tw;100002976077991;Yang Li Wei;January 3, 2018
spark-tw;100003693377004;Yang Li Wei;January 3, 2018
spark-tw;643921100;Yang Li Wei;January 3, 2018
spark-tw;100004678897373;Erica Li;January 3, 2018
spark-tw;100001340149512;Mark Yang;December 31, 2017
spark-tw;100000356486358;蔡垂雄;December 30, 2017
spark-tw;100003739629423;吳承翰;December 30, 2017
spark-tw;100001002894512;Yang Li Wei;December 29, 2017
spark-tw;100002077054926;Erica Li;December 28, 2017
spark-tw;100007472887469;Yang Li Wei;December 27, 2017
spark-tw;100000216155040;Yang Li Wei;December 27, 2017
spark-tw;100000677627850;Yang Li Wei;December 27, 2017
spark-tw;1310422189;Erica Li;December 25, 2017
spark-tw;100000101629301;Erica Li;December 17, 2017
spark-tw;1124764178;Erica Li;December 17, 2017
spark-tw;606372466;Erica Li;December 17, 2017
spark-tw;100000290465502;Erica Li;December 17, 2017
spark-tw;100002267835538;Erica Li;December 16, 2017
spark-tw;749782016;Erica Li;December 16, 2017
spark-tw;100000233585467;Erica Li;December 16, 2017
spark-tw;100006356348875;Erica Li;December 14, 2017
spark-tw;100001574701537;Erica Li;December 9, 2017
spark-tw;100000190341178;Yang Li Wei;December 8, 2017
spark-tw;100001409744027;陳慶全;December 5, 2017
spark-tw;1776203094;Erica Li;December 4, 2017
spark-tw;1763600971;Erica Li;November 27, 2017
spark-tw;100006409952075;Erica Li;November 27, 2017
spark-tw;100009739634797;Yang Li Wei;November 25, 2017
spark-tw;708670844;Yang Li Wei;November 20, 2017
spark-tw;100005013545644;陳慶全;November 20, 2017
spark-tw;723653246;Yang Li Wei;November 20, 2017
spark-tw;100000281168614;Yang Li Wei;November 20, 2017
spark-tw;1396508459;Yang Li Wei;November 20, 2017
spark-tw;100001515354367;Yang Li Wei;November 20, 2017
spark-tw;100000252409912;Yang Li Wei;November 20, 2017
spark-tw;1672437834;Yang Li Wei;November 20, 2017
spark-tw;100000106580193;Yang Li Wei;November 20, 2017
spark-tw;100000243116510;陳慶全;November 20, 2017
spark-tw;100000204397465;Yang Li Wei;November 10, 2017
spark-tw;100013110724294;Erica Li;November 7, 2017
spark-tw;100000183828623;Erica Li;November 7, 2017
spark-tw;100000035106661;Erica Li;November 7, 2017
spark-tw;100000822631964;Erica Li;November 7, 2017
spark-tw;1799101080;Erica Li;November 7, 2017
spark-tw;100009167096606;Erica Li;November 7, 2017
spark-tw;100001927907331;Erica Li;November 7, 2017
spark-tw;1225792759;Erica Li;November 7, 2017
spark-tw;1604695427;Erica Li;November 7, 2017
spark-tw;100009630702283;Erica Li;October 30, 2017
spark-tw;100007048419481;Erica Li;October 30, 2017
spark-tw;100012724391888;Erica Li;October 30, 2017
spark-tw;1651675163;Erica Li;October 30, 2017
spark-tw;100000150946931;Erica Li;October 30, 2017
spark-tw;100000738388680;Erica Li;October 30, 2017
spark-tw;100002137545483;Erica Li;October 25, 2017
spark-tw;100000118924995;Erica Li;October 24, 2017
spark-tw;100000710357327;Erica Li;October 24, 2017
spark-tw;100001583278271;Erica Li;October 24, 2017
spark-tw;100000136184077;Erica Li;October 24, 2017
spark-tw;100000110903945;Erica Li;October 24, 2017
spark-tw;1673431005;Erica Li;October 24, 2017
spark-tw;590445951;Erica Li;October 24, 2017
spark-tw;100002619126321;Erica Li;October 23, 2017
spark-tw;100001899519223;Erica Li;October 23, 2017
spark-tw;100000225945096;Erica Li;October 23, 2017
spark-tw;100006888339666;Erica Li;October 23, 2017
spark-tw;100003471096167;Erica Li;October 23, 2017
spark-tw;100000193680285;Erica Li;October 22, 2017
spark-tw;6028853;Erica Li;October 22, 2017
spark-tw;100002459586187;Erica Li;October 22, 2017
spark-tw;809742136;Erica Li;October 22, 2017
spark-tw;100000203606879;Erica Li;October 21, 2017
spark-tw;100000145310782;Yang Li Wei;October 20, 2017
spark-tw;1587595710;Yang Li Wei;October 20, 2017
spark-tw;100000583924591;Erica Li;October 19, 2017
